idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
2044,-3.486783856009063,-3.8239170613453006,-3.486783856009063,-3.8239170613453006,-3.384835947062381,-3.5319427547550846
2045,-3.1196823877455735,-3.3833952994291123,-3.1196823877455735,-3.3833952994291123,-2.8341837446671456,-3.0914209928388963
2046,-3.4829818962758345,-3.9034479130128235,-3.4829818962758345,-3.9034479130128235,-3.3445167111914387,-3.5384800297750543
2047,-3.5442437548447616,-3.9800252362239816,-3.5442437548447616,-3.9800252362239816,-3.446619808806316,-3.615057352986212
2048,-3.5581763744182,-3.99744101069078,-3.5581763744182,-3.99744101069078,-3.4698408414287143,-3.6324731274530104
2049,-3.4773067292291544,-3.8963539542044727,-3.4773067292291544,-3.8963539542044727,-3.3350580994469703,-3.531386070966703
2050,-3.4967083643414547,-3.8358264713441708,-3.4967083643414547,-3.8358264713441708,-3.3997227095609683,-3.5438521647539547
2051,-3.527190480666592,-3.8724050109343344,-3.527190480666592,-3.8724050109343344,-3.4454458840486737,-3.520001966816671
2052,-3.5950422605853745,-3.9538271468368733,-3.5950422605853745,-3.9538271468368733,-3.547223553926847,-3.6014241027192098
2053,-3.7870818079712225,-4.184274603699891,-3.7870818079712225,-4.184274603699891,-3.8352828750056194,-3.8318715595822277
2054,-3.5371411372819366,-3.8843457988727486,-3.5371411372819366,-3.8843457988727486,-3.460371868971691,-3.5319427547550846
2055,-3.170039669018447,-3.4438240369565607,-3.170039669018447,-3.4438240369565607,-2.9097196665764553,-3.0914209928388963
2056,-3.5434106338032825,-3.9789838349221336,-3.5434106338032825,-3.9789838349221336,-3.4452312737371855,-3.5384800297750543
2057,-3.6046724923722095,-4.055561158133292,-3.6046724923722095,-4.055561158133292,-3.5473343713520626,-3.615057352986212
2058,-3.618605111945648,-4.07297693260009,-3.618605111945648,-4.07297693260009,-3.5705554039744603,-3.6324731274530104
2059,-3.5377354667566023,-3.971889876113783,-3.5377354667566023,-3.971889876113783,-3.435772661992717,-3.531386070966703
2060,-3.547065645614328,-3.8962552088716187,-3.547065645614328,-3.8962552088716187,-3.4752586314702785,-3.5438521647539547
2061,-3.5860827249237137,-3.9430757040428808,-3.5860827249237137,-3.9430757040428808,-3.5337842504343566,-3.520001966816671
2062,-3.6539345048424963,-4.02449783994542,-3.6539345048424963,-4.02449783994542,-3.63556192031253,-3.6014241027192098
2063,-3.8459740522283443,-4.254945296808438,-3.8459740522283443,-4.254945296808438,-3.9236212413913023,-3.8318715595822277
2064,-3.5960333815390584,-3.955016491981295,-3.5960333815390584,-3.955016491981295,-3.548710235357374,-3.5319427547550846
2065,-3.2289319132755687,-3.514494730065107,-3.2289319132755687,-3.514494730065107,-2.9980580329621382,-3.0914209928388963
2066,-3.614081326911829,-4.0673222013078165,-3.614081326911829,-4.0673222013078165,-3.5630157622514296,-3.5384800297750543
2067,-3.675343185480756,-4.143899524518975,-3.675343185480756,-4.143899524518975,-3.6651188598663063,-3.615057352986212
2068,-3.6892758050541943,-4.161315298985773,-3.6892758050541943,-4.161315298985773,-3.6883398924887043,-3.6324731274530104
2069,-3.6084061598651487,-4.060228242499466,-3.6084061598651487,-4.060228242499466,-3.553557150506961,-3.531386070966703
2070,-3.60595788987145,-3.966925901980165,-3.60595788987145,-3.966925901980165,-3.5635969978559614,-3.5438521647539547
2071,-3.5308838443184642,-3.819178180150228,-3.530883844318464,-3.819178180150228,-3.3699099621393636,-3.575866257991715
2072,-3.589042512820278,-3.8870299600690106,-3.5890425128202774,-3.8870299600690097,-3.471687632017537,-3.6437180379104976
2073,-3.7536478391510046,-4.079069507454858,-3.753647839151004,-4.079069507454858,-3.7597469530963092,-3.8357575852963457
2074,-3.5394129785601884,-3.829128836765573,-3.5394129785601884,-3.8291288367655727,-3.384835947062381,-3.58581691460706
2075,-3.224754577191483,-3.462027368502083,-3.2247545771914825,-3.462027368502083,-2.8341837446671456,-3.21871544634357
2076,-3.5450161992076854,-3.893795873183646,-3.545016199207685,-3.893795873183646,-3.3445167111914387,-3.6018215665934306
2077,-3.5960677480151246,-3.9550577317525724,-3.5960677480151233,-3.9550577317525724,-3.446619808806316,-3.6630834251623567
2078,-3.607678264326323,-3.968990351326011,-3.6076782643263225,-3.9689903513260107,-3.4698408414287143,-3.677016044735796
2079,-3.540286893335452,-3.888120706136965,-3.5402868933354505,-3.888120706136965,-3.3350580994469703,-3.5961463995467495
2080,-3.5479196999879528,-3.8390533450979647,-3.5479196999879528,-3.8390533450979647,-3.3997227095609683,-3.595741422939452
2081,-3.574047228266641,-3.8695354614231015,-3.574047228266641,-3.8695354614231015,-3.4454458840486737,-3.575866257991715
2082,-3.6322058967684545,-3.937387241341884,-3.6322058967684545,-3.937387241341883,-3.547223553926847,-3.6437180379104976
2083,-3.7968112230991813,-4.129426788727732,-3.7968112230991813,-4.129426788727732,-3.8352828750056194,-3.8357575852963457
2084,-3.5825763625083655,-3.8794861180384466,-3.5825763625083655,-3.879486118038446,-3.460371868971691,-3.58581691460706
2085,-3.2679179611396596,-3.5123846497749565,-3.2679179611396596,-3.5123846497749565,-2.9097196665764553,-3.21871544634357
2086,-3.5953734804805584,-3.954224610711094,-3.5953734804805584,-3.954224610711094,-3.4452312737371855,-3.6018215665934306
2087,-3.6464250292879967,-4.01548646928002,-3.6464250292879967,-4.01548646928002,-3.5473343713520626,-3.6630834251623567
2088,-3.658035545599196,-4.02941908885346,-3.658035545599196,-4.029419088853459,-3.5705554039744603,-3.677016044735796
2089,-3.590644174608324,-3.948549443664413,-3.590644174608324,-3.948549443664413,-3.435772661992717,-3.5961463995467495
2090,-3.59108308393613,-3.889410626370838,-3.59108308393613,-3.889410626370838,-3.4752586314702785,-3.595741422939452
2091,-3.6245262947727457,-3.928427705680223,-3.6245262947727457,-3.928427705680223,-3.5337842504343566,-3.575866257991715
2092,-3.6826849632745593,-3.9962794855990054,-3.6826849632745593,-3.9962794855990054,-3.63556192031253,-3.6437180379104976
2093,-3.847290289605286,-4.188319032984853,-3.847290289605286,-4.188319032984853,-3.9236212413913023,-3.8357575852963457
2094,-3.63305542901447,-3.9383783622955675,-3.63305542901447,-3.9383783622955675,-3.548710235357374,-3.58581691460706
2095,-3.3183970276457644,-3.571276894032078,-3.3183970276457644,-3.571276894032078,-2.9980580329621382,-3.21871544634357
2096,-3.65426572473768,-4.02489530381964,-3.65426572473768,-4.02489530381964,-3.5630157622514296,-3.6018215665934306
2097,-3.7053172735451185,-4.086157162388567,-3.7053172735451185,-4.086157162388567,-3.6651188598663063,-3.6630834251623567
2098,-3.7169277898563178,-4.100089781962005,-3.7169277898563178,-4.100089781962005,-3.6883398924887043,-3.677016044735796
2099,-3.649536418865446,-4.01922013677296,-3.649536418865446,-4.01922013677296,-3.553557150506961,-3.5961463995467495
2100,-3.641562150442234,-3.948302870627959,-3.641562150442234,-3.948302870627959,-3.5635969978559614,-3.595741422939452
2101,-3.461497883114394,-3.7935738938716974,-3.461497883114394,-3.7935738938716974,-3.3699099621393636,-3.501599587281482
2102,-3.5293496630331767,-3.8749960297742363,-3.5293496630331767,-3.8749960297742363,-3.471687632017537,-3.5830217231840207
