idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
2023,-63.71958783505106,-59.571504463829484,-63.71958783505106,-59.571504463829484,-35.32687195563053,-55.51338185266084
2024,-60.266509546254,-56.118426175032425,-60.266509546254,-56.118426175032425,-31.87379366683347,-52.06030356386378
2025,-55.19579877369025,-51.047715402468675,-55.19579877369025,-51.047715402468675,-26.80308289426972,-46.98959279130003
2026,-52.19486963163749,-48.046786260415914,-52.19486963163749,-48.046786260415914,-23.80215375221696,-43.98866364924727
2027,-52.8994618584433,-48.75137848722173,-52.8994618584433,-48.75137848722173,-24.506745979022774,-44.69325587605309
2028,-53.059867069124095,-48.91178369790252,-53.059867069124095,-48.91178369790252,-24.667151189703564,-44.85366108673388
2029,-52.1301533169178,-47.982069945696225,-52.1301533169178,-47.982069945696225,-23.737437437497267,-43.92394733452758
2030,-60.403300764529796,-56.25521739330822,-60.403300764529796,-56.25521739330822,-32.01058488510927,-52.19709478213958
2031,-60.94394878090734,-56.79586540968576,-60.94394878090735,-56.79586540968576,-32.551232901486806,-51.9236652542331
2032,-61.88005325136713,-57.731969880145556,-61.880053251367144,-57.731969880145556,-33.48733737194661,-52.859769724692896
2033,-64.53366537933508,-60.3855820081135,-64.53366537933509,-60.3855820081135,-36.14094949991455,-55.51338185266084
2034,-61.080587090538025,-56.93250371931644,-61.08058709053803,-56.93250371931644,-32.68787121111749,-52.06030356386378
2035,-56.009876317974275,-51.86179294675269,-56.00987631797428,-51.86179294675269,-27.617160438553746,-46.98959279130003
2036,-53.00894717592151,-48.86086380469993,-53.00894717592152,-48.86086380469993,-24.616231296500985,-43.98866364924727
2037,-53.713539402727335,-49.56545603150575,-53.713539402727335,-49.56545603150575,-25.3208235233068,-44.69325587605309
2038,-53.87394461340812,-49.72586124218654,-53.87394461340813,-49.72586124218654,-25.481228733987585,-44.85366108673388
2039,-52.944230861201824,-48.79614748998024,-52.94423086120183,-48.79614748998024,-24.55151498178129,-43.92394733452758
2040,-61.21737830881382,-57.06929493759224,-61.21737830881383,-57.06929493759224,-32.824662429393285,-52.19709478213958
2041,-48.036423347992624,-43.88833997677105,-48.036423347992624,-43.88833997677105,-31.04063511763664,-40.52673760516855
2042,-48.97252781845242,-44.824444447230846,-48.97252781845242,-44.824444447230846,-31.97673958809644,-41.462842075628345
2043,-51.62613994642037,-47.47805657519879,-51.62613994642037,-47.47805657519879,-34.63035171606439,-44.1164542035963
2044,-48.173061657623315,-44.02497828640173,-48.173061657623315,-44.02497828640173,-31.17727342726733,-40.66337591479923
2045,-43.102350885059565,-38.95426751383798,-43.102350885059565,-38.95426751383798,-26.10656265470358,-35.59266514223549
2046,-40.1014217430068,-35.95333837178522,-40.1014217430068,-35.95333837178522,-23.10563351265082,-32.59173600018273
2047,-40.80601396981262,-36.65793059859104,-40.80601396981262,-36.65793059859104,-23.810225739456634,-33.29632822698854
2048,-40.9664191804934,-36.81833580927183,-40.9664191804934,-36.81833580927183,-23.970630950137423,-33.45673343766933
2049,-40.03670542828711,-35.88862205706553,-40.03670542828711,-35.88862205706553,-23.040917197931126,-32.52701968546303
2050,-48.309852875899104,-44.16176950467753,-48.309852875899104,-44.16176950467753,-31.314064645543127,-40.80016713307503
2051,-48.732943587558765,-44.58486021633719,-48.732943587558765,-44.58486021633719,-31.73715535720278,-40.52673760516855
2052,-49.66904805801856,-45.52096468679699,-49.66904805801856,-45.52096468679699,-32.67325982766258,-41.462842075628345
2053,-52.322660185986514,-48.17457681476493,-52.322660185986514,-48.17457681476493,-35.32687195563053,-44.1164542035963
2054,-48.869581897189455,-44.721498525967874,-48.869581897189455,-44.721498525967874,-31.87379366683347,-40.66337591479923
2055,-43.798871124625705,-39.650787753404124,-43.798871124625705,-39.650787753404124,-26.80308289426972,-35.59266514223549
2056,-40.797941982572944,-36.64985861135136,-40.797941982572944,-36.64985861135136,-23.80215375221696,-32.59173600018273
2057,-41.50253420937876,-37.35445083815718,-41.50253420937876,-37.35445083815718,-24.506745979022774,-33.29632822698854
2058,-41.662939420059544,-37.51485604883797,-41.662939420059544,-37.51485604883797,-24.667151189703564,-33.45673343766933
2059,-40.73322566785325,-36.58514229663167,-40.73322566785325,-36.58514229663167,-23.737437437497267,-32.52701968546303
2060,-49.006373115465244,-44.85828974424367,-49.006373115465244,-44.85828974424367,-32.01058488510927,-40.80016713307503
2061,-49.54702113184279,-45.39893776062121,-49.54702113184279,-45.398937760621216,-32.551232901486806,-40.52673760516855
2062,-50.48312560230258,-46.335042231081005,-50.48312560230259,-46.335042231081005,-33.48733737194661,-41.462842075628345
2063,-53.13673773027053,-48.98865435904896,-53.13673773027053,-48.98865435904896,-36.14094949991455,-44.1164542035963
2064,-49.68365944147347,-45.5355760702519,-49.68365944147347,-45.5355760702519,-32.68787121111749,-40.66337591479923
2065,-44.61294866890972,-40.46486529768815,-44.61294866890973,-40.46486529768815,-27.617160438553746,-35.59266514223549
2066,-41.61201952685696,-37.46393615563539,-41.61201952685697,-37.46393615563539,-24.616231296500985,-32.59173600018273
2067,-42.316611753662784,-38.1685283824412,-42.316611753662784,-38.16852838244121,-25.3208235233068,-33.29632822698854
2068,-42.47701696434357,-38.32893359312199,-42.47701696434357,-38.328933593121995,-25.481228733987585,-33.45673343766933
2069,-41.54730321213727,-37.39921984091569,-41.54730321213727,-37.3992198409157,-24.55151498178129,-32.52701968546303
2070,-49.82045065974927,-45.67236728852769,-49.82045065974927,-45.672367288527695,-32.824662429393285,-40.80016713307503
2071,-56.91855832832127,-52.77047495709968,-56.91855832832127,-52.77047495709969,-31.04063511763664,-49.408872585497186
2072,-57.854662798781064,-53.706579427559475,-57.854662798781064,-53.706579427559475,-31.97673958809644,-50.34497705595699
2073,-60.50827492674901,-56.36019155552742,-60.50827492674901,-56.36019155552743,-34.63035171606439,-52.99858918392493
2074,-57.05519663795195,-52.90711326673036,-57.05519663795195,-52.90711326673037,-31.17727342726733,-49.54551089512787
2075,-51.9844858653882,-47.83640249416661,-51.9844858653882,-47.83640249416662,-26.10656265470358,-44.474800122564126
2076,-48.98355672333544,-44.83547335211385,-48.98355672333544,-44.83547335211386,-23.10563351265082,-41.473870980511364
2077,-49.688148950141255,-45.540065578919666,-49.688148950141255,-45.54006557891968,-23.810225739456634,-42.17846320731718
2078,-49.84855416082205,-45.70047078960046,-49.84855416082205,-45.700470789600466,-23.970630950137423,-42.338868417997965
2079,-48.91884040861575,-44.77075703739416,-48.91884040861575,-44.77075703739417,-23.040917197931126,-41.40915466579167
2080,-57.19198785622775,-53.04390448500616,-57.19198785622775,-53.043904485006166,-31.314064645543127,-49.682302113403665
2081,-57.61507856788741,-53.46699519666582,-57.61507856788741,-53.46699519666583,-31.73715535720278,-49.408872585497186
2082,-58.551183038347205,-54.403099667125616,-58.551183038347205,-54.403099667125616,-32.67325982766258,-50.34497705595699
2083,-61.20479516631515,-57.05671179509356,-61.20479516631515,-57.05671179509357,-35.32687195563053,-52.99858918392493
2084,-57.75171687751809,-53.603633506296504,-57.75171687751809,-53.60363350629651,-31.87379366683347,-49.54551089512787
2085,-52.68100610495434,-48.532922733732754,-52.68100610495434,-48.53292273373276,-26.80308289426972,-44.474800122564126
2086,-49.68007696290158,-45.53199359167999,-49.68007696290158,-45.53199359168,-23.80215375221696,-41.473870980511364
2087,-50.384669189707395,-46.23658581848581,-50.384669189707395,-46.23658581848582,-24.506745979022774,-42.17846320731718
2088,-50.54507440038819,-46.3969910291666,-50.54507440038819,-46.39699102916661,-24.667151189703564,-42.338868417997965
2089,-49.61536064818189,-45.4672772769603,-49.61536064818189,-45.46727727696031,-23.737437437497267,-41.40915466579167
2090,-57.88850809579389,-53.7404247245723,-57.88850809579389,-53.74042472457231,-32.01058488510927,-49.682302113403665
2091,-58.42915611217143,-54.28107274094985,-58.42915611217143,-54.28107274094985,-32.551232901486806,-49.408872585497186
2092,-59.36526058263122,-55.21717721140965,-59.36526058263122,-55.21717721140965,-33.48733737194661,-50.34497705595699
2093,-62.01887271059917,-57.870789339377595,-62.01887271059917,-57.870789339377595,-36.14094949991455,-52.99858918392493
2094,-58.56579442180211,-54.417711050580536,-58.56579442180211,-54.417711050580536,-32.68787121111749,-49.54551089512787
2095,-53.49508364923836,-49.347000278016786,-53.49508364923836,-49.347000278016786,-27.617160438553746,-44.474800122564126
2096,-50.4941545071856,-46.346071135964024,-50.4941545071856,-46.346071135964024,-24.616231296500985,-41.473870980511364
