idx,construction_score,construction_logprob,default_nan_score,default_nan_logprob,order_swap_score,order_swap_logprob,no_article_score,no_article_logprob,no_modifier_score,no_modifier_logprob,no_numeral_score,no_numeral_logprob
2287,1.9341480776993087,-5.981645161747435,1.1640100344347342,-8.007459347669618,1.681811908623196,-6.233981330823548,0.18321135460404273,-8.98825802750031,2.4385547264844782,-5.489798530020743,1.74025529535002,-6.317617239338894
2288,0.9974445226079087,-6.960307398045764,0.5025490990892365,-8.724865191291022,1.1857162071140719,-6.7720357135396,-1.0657265358581351,-10.293140826238393,1.1896170190153228,-6.794681145765803,1.0787943600045224,-7.035023082960296
2289,1.8848133315464377,-5.83975438537774,0.9372667828192931,-7.979235235921638,1.5117544699116143,-6.212813247012562,0.11743169306688135,-8.79907032567405,2.3727750649473154,-5.3006108281944835,1.5135120437345801,-6.289393127590912
2290,2.1733068397727493,-5.661770760713564,1.9882322292101957,-6.768423568529217,2.2376292896058727,-5.5974483108804405,0.9198939879696599,-7.836761809769753,2.6114015168799876,-5.212917186660078,2.5461613396866456,-5.375296822491188
2291,1.76940416505415,-6.149432213930994,1.3250692220798808,-7.5362850487830695,1.4288442328084217,-6.489992146176722,0.7093524178153245,-8.152001853047626,1.6965460186285988,-6.232471158035002,2.0954158415122457,-5.757195825405551
2292,2.597861143528332,-5.507552714311779,1.7037885708603921,-7.390787548571269,1.7318197118328293,-6.373594146007282,1.7449236409080529,-7.349652478523608,2.7321171044765604,-5.43012192075575,2.5005148696233004,-5.585318645863206
2293,2.6626632969397095,-5.974737701270212,2.441643136936829,-7.317916907957091,2.32210336469398,-6.315297633515941,1.825926332672271,-7.933633712221649,2.813119933485549,-6.014103017209024,3.211989756369195,-5.538827684579574
2294,2.3730575053617775,-5.572388569367549,1.5665258883105047,-7.328090502232673,1.622009565792922,-6.323436508936405,1.4639190931998565,-7.430697297343321,2.4511126940131325,-5.511166602330697,2.3368725077428705,-5.549001278855155
2295,1.9449617533158488,-4.98658689706838,-0.1415265540517865,-7.768771164163594,0.25556761190308636,-6.675981038481143,0.9287994031424471,-6.69844520696936,2.270753158113463,-4.4241543577989955,0.6288200653805784,-5.989681940786076
2296,1.376968366257481,-6.537834381689327,0.6647794565823872,-8.505369270188718,0.9595706613674366,-6.955232086579372,-0.16724589632651052,-9.337394623097616,1.1490122380911931,-6.778020363080782,1.691907916506165,-6.133250671671405
2297,1.6603625321015194,-6.428975675728799,0.7131264694402001,-8.689736203842251,0.9958309210107963,-7.093507286819522,0.21061299146554072,-9.19224968181691,1.5268711258832421,-6.632875421800077,1.74025529535002,-6.317617239338894
2298,1.353847692926518,-6.777449196110727,0.05166553409470254,-9.407142047463653,0.4997352195016713,-7.631561669535573,-0.19807346076779334,-9.656881042326148,1.118184673649908,-7.097506782309316,1.0787943600045224,-7.035023082960296
2299,1.477493568923614,-6.420619116384136,0.4863832178247603,-8.661512092094268,0.8257734822992147,-7.072339203008536,-0.03321229277166656,-9.181107602690695,1.283045841646036,-6.621733342673861,1.5135120437345801,-6.289393127590912
2300,1.9819525478140492,-5.991961027379124,1.6500695554642961,-7.28013121065869,1.688844499515953,-6.285069075677219,0.9750378962651975,-7.955162869857789,1.9622314970784736,-6.035632174845164,2.5461613396866456,-5.375296822491188
2301,1.3723063115243606,-6.711336662787714,0.7315273359727339,-8.33583517904888,1.0378737542273584,-7.045769220084717,0.2727153365575177,-8.794647178464096,1.558372111765288,-6.576653309056977,2.0954158415122457,-5.757195825405551
2302,1.9379622349232406,-6.332258218243801,1.1102466847532462,-8.190337678837079,1.3408492332517667,-6.929371219915275,0.9797852408061196,-8.320799122784205,2.265442016013889,-6.102805253377085,2.5005148696233004,-5.585318645863206
2303,2.265565443409919,-6.536642150126933,1.8481012508296821,-8.117467038222902,1.9311328861129184,-6.871074707423934,1.389289251414466,-8.576279037638118,2.674946026622237,-6.358285168230999,3.211989756369195,-5.538827684579574
2304,1.516617503332607,-6.593635166723651,0.9729840022033578,-8.127640632498483,1.2310390872118588,-6.8792135828443985,0.4531043263178258,-8.647520308384015,1.738761101525598,-6.429526438976896,2.3368725077428705,-5.549001278855155
